MARCHE_ID;NUMERO_LOT;ACHETEURS_NOM;MARCHE_OBJET;NOTIFICATION_DATE;MONTANT;TITULAIRES_DENOMINATION
3E7CF22E-5A2D-4E8A-91B9-93E384C98807;None;COMMUNE DE STRASBOURG;TRAVAUX DE REAMENAGEMENT DE LA RUE ARTHUR WEEBER A STRASBOURG MEINAU - TRAVAUX D'ECLAIRAGE ET D'AMENAGEMENTS PAYSAGERS  - ECLAIRAGE PUBLIC;2019-08-07;None;SPIE CITYNETWORKS
C18E14CF-A20F-49DE-AAFC-FEF8C1AC3BD0;None;COMMUNE DE STRASBOURG;PRESTATIONS D'ACCORDS DE PIANO POUR LA DIRECTION DE LA CULTURE DE LA VILLE DE STRASBOURG - POUR LES PIANOS DU CENTRE CHOREGRAPHIQUE, DU TAPS ET DES PIANOS MIS A DISPOSITION DES ECOLES DE MUSIQUE;2019-08-06;None;ARPEGES-ARMAND-MEYER
1B12999C-A7EC-4F15-BDC7-F2DD2981B24B;None;COMMUNE DE STRASBOURG;LOCATION D'UN DISPOSITIF SCENIQUE SUR LA PLACE KLEBER DANS LE CADRE DU FESTIVAL DES ARTS DE LA RUE DE STRASBOURG 2019;2019-08-02;9960.0;EVENT SYSTEM
FA8A9275-9264-4B12-8D0C-C44A25C27B72;None;COMMUNE DE STRASBOURG;TRAVAUX DE REAMENAGEMENT DE LA PLACE MATHIAS MERIAN A STRASBOURG CENTRE;2019-08-01;225387.12;THIERRY MULLER
19-132282;1;COMMUNE DE STRASBOURG;PRESTATIONS DE SERVICE POUR LA REALISATION DE CHANTIERS DES COLLECTIONS DES MUSEES DE LA VILLE DE STRASBOURG;2019-07-31;229432.0;GROUP RECHERC ART HISTOI ACHITECT LITT
2BEDCB8A-CFA6-4D9F-9744-5CAA0692BA0A;None;COMMUNE DE STRASBOURG;TRAVAUX DE MISE EN SECURITE DU GROUPE SCOLAIRE REUSS A STRASBOURG - GROS OEUVRE;2019-07-31;210000.0;LES BATISSEURS ASSOCIES
E13276D6-1A8B-4A67-8B5F-F7AEDF933C35;None;COMMUNE DE STRASBOURG;TRAVAUX DE REAMENAGEMENT DE LA RUE MICHEL-ANGE (DE LA RUE VELASQUEZ A LA RUE DE L'UNTERELSAU) A STRASBOURG-ELSAU (ECLAIRAGE PUBLIC ET AMENAGEMENTS PAYSAGERS) - ECLAIRAGE PUBLIC;2019-07-31;189658.0;SOGECA
69169D09-3831-417D-BB82-5D529DD029A7;None;COMMUNE DE STRASBOURG;TRAVAUX DE MISE EN SECURITE DU GROUPE SCOLAIRE REUSS A STRASBOURG - PENITURE SOLS;2019-07-31;120838.01;DECOPEINT
19-132282;3;COMMUNE DE STRASBOURG;PRESTATIONS DE SERVICE POUR LA REALISATION DE CHANTIERS DES COLLECTIONS DES MUSEES DE LA VILLE DE STRASBOURG;2019-07-30;95098.0;GROUP RECHERC ART HISTOI ACHITECT LITT
EB55AD99-114B-4D3F-943B-9DC10175F37C;None;COMMUNE DE STRASBOURG;MISSION DE MAITRISE D'OEUVRE POUR LA RENOVATION DE L'ENVELOPPE ET LA MISE EN SECURITE ET EN ACCESSIBILITE DE L'ECOLE MATERNELLE MEINAU A STRASBOURG;2019-07-30;124300.0;BERNARD WEIXLER ARCHITECTE
